Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
85115,500 ML,8028,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU",,Yes,Yes,25,No,"800 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85116,1 L,8028,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU",,Yes,Yes,25,No,"800 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85117,250 ML,8028,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU",,Yes,Yes,25,No,"800 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85118,1 GAL,8028,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU",,Yes,Yes,25,No,"800 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85119,250 ML,8029,"AMCO CLEAR TURBIDITY STANDARD, 900 NTU",,Yes,Yes,25,No,"900 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85120,1 GAL,8029,"AMCO CLEAR TURBIDITY STANDARD, 900 NTU",,Yes,Yes,25,No,"900 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85121,1 L,8029,"AMCO CLEAR TURBIDITY STANDARD, 900 NTU",,Yes,Yes,25,No,"900 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85122,1 L,8030,"AMCO CLEAR TURBIDITY STANDARD, 1000 NTU",,Yes,Yes,25,No,"1000 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85123,125 ML,8030,"AMCO CLEAR TURBIDITY STANDARD, 1000 NTU",,Yes,Yes,25,No,"1000 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85124,250 ML,8030,"AMCO CLEAR TURBIDITY STANDARD, 1000 NTU",,Yes,Yes,25,No,"1000 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85125,500 ML,8030,"AMCO CLEAR TURBIDITY STANDARD, 1000 NTU",,Yes,Yes,25,No,"1000 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85126,1 GAL,8030,"AMCO CLEAR TURBIDITY STANDARD, 1000 NTU",,Yes,Yes,25,No,"1000 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85129,1 GAL,8032,"AMCO CLEAR TURBIDITY STANDARD, 4000 NTU for HACH 2100 AN IS",,Yes,Yes,25,No,"4000 NTU, Amco Clear Turbidity Standard For Hach 2100 An Is",BOM,AMCO,,No,No,,Not specified,,Yes
8513,BULK L,8513,"AMCO CLEAR TURBIDITY STANDARD, 40 NTU for HACH 2100N/AN INSTRUMENTS",,Yes,No,25,No,"40 NTU For Hach 2100N/AN, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85130,1 L,8032,"AMCO CLEAR TURBIDITY STANDARD, 4000 NTU for HACH 2100 AN IS",,Yes,Yes,25,No,"4001 NTU, Amco Clear Turbidity Standard For Hach 2100 An Is",BOM,AMCO,,No,No,,Not specified,,Yes
85141,125 ML,8035,"AMCO CLEAR TURBIDITY STANDARD, 1.8 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"1.8 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
