productId,description
803,SKU 69302 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Nominally 10-60 mesh.
805,Suitable as water standard for Karl Fischer determination.
810,"Trace metal grade.analyzed to ppb Levels.  Results reported at time of bottling in glass. Llevels of Al, B, Ca, K, Mg, Mn, Na and Si will increase over time."
811,SKU 12808 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
814,Iron and copper free. Methanol.
817,Isopropanol or 2-Propanol. Iron and Copper free.
819,For use as a Spectroscopic Flux.
820,Thymolsulfonphthalein.  Water soluble pH indicator.
822,Reagent for mercury determination.
823,sym-Diphenylcarbazide.
832,Water soluble indicator.
849,Mixture of ester isomers.
865,1-Butanol.
889,"(N-chloro-p-toluenesulfonamide, sodium salt)."
893,x is typically 6-8.
896,o-Cresolsulfonphthalein. Water soluble pH indicator.
902,Powder.
905,C.I. 75300.
906,Convenient lab source for HCN gas.
909,Methylene Chloride.
915,"1,4-Dioxane. Contains stabilizer: BHT at 5-25 ppm.  1,4-Dioxane."
919,Ethyl bromide.
924,Contains 10-15% methanol as preservative
926,Dextrose.
928,SKU 47156 is a GFS Express item with guaranteed same or next day shipping or the freight is free. A mixture of hexane isomers plus methylcyclopentane.
931,SKU 43934 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
932,SKU 43974 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Stabilized with less than 1ppm of tin.
934,2-Methyl-1-propanol.
955,See also Chloride Color Reagent #1991.
957,"Item removed from ACS Reagent Chemicals, 10th edition. These specs conform to the 9th edition specifications."
961,"Dimethyl Sulfoxide, DMSO."
962,Water soluble chelometric indicator.
968,"Material is light sensitive, protect from light."
969,"For ammonia determination. Prepared per ACS Reagent Chemicals, 10th Edition, page 103."
977,Azo Violet.
979,Ligroin. Mixed Hydrocarbons. SKU 57103 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
983,Platinum content 72.20% min.
987,SKU 60481 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
988,Potassium chloroplatinate (IV).
997,Rochelle Salt.
1004,Catalyst for hydrogenation 20-40 mesh. See Royer product information section.
1005,Catalyst for hydrogenation 40-200 mesh. See Royer product information section.
1013,"Ammonium Tetra(thiocyanato)diamminechromate (III), Monohydrate."
1018,x hydrate is about 3.
1020,Degree of hydration varies between 6 and 7.
1026,Sodium Hydrogen Sulfate.
1042,"(4,5-Dihydroxy-3-(p-sulfophenylazo)-2,7-naphthalene disulfonic acid, trisodium salt).  Indicator for zirconium, thorium and colorimetric indicator for fluoride."
1050,Titanyl Sulfate.
1055,(Isooctane).
1063,X hydrate typically between 5-8.
1068,Catalyst for hydrogenation 40-200 mesh. See Royer product information section.
1071,Monochloroacetic acid.
1077,"1,3-Benzenediol."
1083,Iron and copper free.
1085,"AA, colorimetric or volumetric standard."
1087,1-HEXANOL
1108,Certifiable.
1111,Not stabilized.  Packed under inert gas.  May discolor on storage.
1114,Benzofurazan 1-oxide.
1130,"Methyl Orange 0.1%, Xylene Cyanole 0.26% in Water"
1133,Mesh size (typical) 80-98% cumulative 200-325 mesh.
1136,Reagent Grade.
1138,0.1 mol/L.
1140,1-Pentanol.
1148,Used in determination of Biochemical Oxygen Demand.
1149,Black cobalt oxide.
1152,1 ml = 1 mg CaCO3. APHA for water hardness (without magnesium).
1156,Brown.
1160,Hydrazinium hydroxide.
1161,0.01 mol/L
1162,0.5 mol/L
1164,SKU 45625 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  0.05 mol/L.  Solution consists of iodine and potassium iodide in water.
1173,Nickel Hydroxide Carbonate
1174,Nickel (II) oxide.
1176,1.0 mol/L.
1178,Potassium Hydrogen Tartrate
1179,For pH electrodes.  4 mol/L.
1180,Indicator for volumetric chloride determination.
1182,0.1 mol/L.
1183,0.5 mol/L.
1184,1 mol/L.
1186,Oxidimetric standard. Frequent restandardization recommended.  0.02 mol/L.
1189,May contain traces of unreacted selenium which appear as black specks.
1191,SKU 67811 is a GFS Express item with guaranteed same or next day shipping or the freight is free. 0.1 mol/L
1192,0.5 mol/L.
1193,1 mol/L
1195,1.0 mol/L.
1198,0.01 mol/L.
1199,0.05 mol/L.
1200,0.25 mol/L.
1201,0.5 mol/L.
1203,Stabilized with 0.025% BHT.
1205,-325 mesh. 
1223,Yellow powder.
1228,0.153 mol/L.
1229,Trace metal grade - analyzed for approximately 35 analytes to PPT levels.
1234,"Suitable for pesticide analysis, gas chromatography, liquid chromatography and ultraviolet spectrophotometry."
1255,4-Methylumbelliferone. Standard for fluorometric determination of enzyme activity.
1257,Cresolphthalein Complexone.
1258,Suitable for use in Chromatography of pesticide residues. Magnesium Silicate Activated at 675 C.
1261,Trace metal grade - analyzed for approximately 35 analytes to PPT levels.
1262,Trace metal grade - analyzed for approximately 35 analytes to PPT levels.
1281,See also electrolyte solution.
1282,See also titration solvent.
1285,0.05 mol/L.
1352,-325 Mesh.
1438,Lithium metasilicate.
1442,Degree of hydration is typically 1-2 moles water.
1468,Typical median particle size is about 30 microns.
1469,"(Acid Green 1, C.I. 10020). Suitable for complexometry."
1494,Mercaptoacetic Acid.
1512,"Trace metal grade, analyzed for approximately 35 analytes in the PPB range. Note: Results reported at time of bottling in glass. The levels of Al, B, Ca, K, Mg, Mn, Na, and Si will increase over time."
1513,Suitable for use as polarographic electrolyte.
1542,Iron and copper free.
1544,"AA, colorimetric or volumetric standard."
1551,5 mol/L.
1556,Desiccant with color indicator. Nominally 10-20 mesh.
1559,0.01 mol/L.
1563,0.00417 mol/L.
1564,KIO3 0.0167 mol/L.
1565,Appearance-colorless and free of suspended matter.
1567,"AA, colorimetric or volumetric standard."
1568,"AA, colorimetric or volumetric standard."
1569,"AA, colorimetric or volumetric standard."
1570,99 mesh and finer.
1572,2.0 mol/L.
1573,2 mol/L.
1578,Reagent for reductimetry.
1579,32% NaOH by wt. (Low Nitrogen grade for Kjeldahl) 10 mol/L.
1587,"3,4,5-trihydroxybenzoic acid."
1590,Powder.
1591,Suitable for flame enhancement in Atomic Absorption.
1593,1-Propanol.
1597,Oxidation-reduction indicator.
1600,For volumetric analysis. Suitable for general purpose or aldehydes and ketones. SKU 99607 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1601,For volumetric analysis. Suitable for general purpose or aldehydes and ketones.
1602,"For volumetric analysis. Must be used in conjunction with KF Solvent 1609, 1610 or Buffer 1615."
1607,Pyridine and chlorocarbon free vessel solution which retains solvent properties of the chloroform-containing solution. Suitable for non-polar samples.
1609,"For volumetric analysis. To be used with reagents 1600, 1601 and stable titrant 1602-1604. For determination of water in aldehydes and ketones in addition to general usage."
1612,Anolyte for coulometric titration for cells with diaphragm.
1613,For coulometric analysis. Catholyte for coulometric titrators.
1615,For volumetric analysis. May be used in place of KF Solvent 1610 for extra buffering capacity of 5 mmole of acid/ml.
1617,For volumetric or coulometric use. For standardization of KF titrants or titrators.
1618,For volumetric or coulometric use. For standardization of KF titrants or titrators.
1619,Substitutes for 1612 Vessel solution when moisture is to be determined in ketones. Does not contain methanol.
1620,For volumetric titrations. Titer approx. 5 mg/ml.
1621,Moisture-free diluent for adjusting titer of Pyridine-based KF Reagent.
1622,Anolyte for coulometric moisture determination.
1623,Catholyte for coulometric moisture determination.
1634,SKU 18411 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1645,SKU 18571 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1648,0.025 mol/L.  As titrant against copper.
1671,Pyridine and chlorocarbon free vessel solution for coulometers without diaphragm.  SKU 99853 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1674,0.1 mol/L.
1675,1.0 mol/L.
1677,0.10 mol/L.
1679,SKU 50392 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Low acetone. Methanol.
1681,Meets all ACS Specifications.
1682,SKU 41722 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1697,Granular form for Cadmium Reduction method for Nitrate. See apparatus section for information about using this product in a reductor tube.
1841,100 ppm each element in 5% Nitric Acid.
1842,100 ppm each element in 5% Nitric Acid.
1844,100 ppm each element in 20% Hydrochloric Acid.
1846,100 ppm each element in 5% Nitric Acid.
1850,"Reagent alcohol, consisting of about 5 volumes of isopropyl alcohol and 95 volumes of specially denatured formula 3-A alcohol.  SKU 10904 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Cannot be used for human consumption."
1860,0.5 mol/L.
1861,0.2 mol/L.
1865,100 ppm each element in 5% Nitric Acid with a trace of HF.
1866,Matrix: 5% nitric acid with trace tartaric acid.
1868,100 ppm each element.
1869,100 ppm each element in 5% Nitric Acid.
1874,100 ppm each element in 5% hydrochloric acid with a trace of HF.
1875,100 ppm each element in 20% Hydrochloric Acid with a trace of HF.
1885,Solvent for general use in single component volumetric titration. Allows for faster equilibrium in set-up and a faster titration than plain methanol.
1889,Fritless reagent for use in conjunction with KF oven. Pyridine and chlorocarbon free.
1892,For standardization of volumetric titrants. SKU 99881 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
1895,Thymolsulfonphthalein.   
1963,SKU 76702 is a GFS Express item with guaranteed same or next day shipping or the freight is free. ASTM/APHA Type I Water
1970,For volumetric analysis. Must be used in conjunction with KF solvent 1609 or 1610 or Buffer 1615.
1972,0.1 mol/L.
1973,White crystals.
1975,"1,2-Propanediol."
1976,0.5 mol/L.
1977,9.0 mol/L.
1984,0.01 mol/L.
1986,"Indicating desiccant with 30% blue gel, 70% white gel."
1991,Ready to use solution. Contains mercuric thiocyanate and ferric nitrate.  Preserved with 20 mg/L of BRIJ-35.
2005,Reagent Grade.  SKU 24042 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
2006,Reagent Grade.   
2024,For Phosphate by Ascorbic Acid (APHA) method.
2027,Reagent Grade Solution.
2031,ASTM Reagent No. 140.
2032,"APHA for phosphate, about 2.74 g/L."
2037,APHA for Nitrogen.
2039,ASTM Reagent No. 136.
2045,1-(1-Hydroxy-4-methyl-2-phenylazo)-2-naphthol-4-sulfonic Acid.
2048,ASTM Reagent No. 129.
2051,Platinum-Cobalt base.
2053,Reagent Grade.
2065,Saturated Solution.
2066,Reagent Grade.
2068,ASTM Reagent No. 148.
2070,"IC, colorimetric or volumetric standard."
2071,0.05 mol/L.
2075,For Arsenic by the APHA method using Silver Diethyldithiocarbamate.
2076,Lead Activity Standard ISE.
2080,0.05 mol/L.
2083,SKU 24821 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
2085,SKU 24841 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
2093,Indicator solution.
2094,In 50% Alcohol.
2098,63 g in 100 ml water.
2107,0.141 mol/L.  1 ml = 5 mg Cl.
2108,0.5 mol/L.
2110,0.05 mol/l.
2111,Carbon Dioxide Molarity Standard for Ion Selective Electrodes.  0.1 mol/L.
2119,0.5 mol/L.
2121,0.1 mol/L. Chloride Molarity Standard. Chloride   = 3545 ppm.
2124,APHA for Metals.
2128,Fluoride molarity standard.  0.1 mol/L.
2129,Reagent Grade.
2130,SKU 25292 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Suitable for Kjeldahl use.
2133,0.02 mol/L.
2137,ISA Adjuster for Chloride Specific Ion Electrodes.  5 mol/L.
2139,Nitrite Molarity Standard for Ion-selective Electrodes.  0.1 mol/L.
2141,0.05 mol/L.
2145,0.1 mol/L.
2146,0.05 mol/L.
2148,For mercury determination.
2149,APHA for Arsenic.
2150,APHA for Phosphate.
2152,Preserved with Salicylic Acid.
2158,2.5 mol/L.
2163,SKU 25621 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  APHA & ASTM By the Specific Ion Method.
2167,Ammonium Chloride-Hydroxide with Magnesium EDTA for Water Hardness or for Standard EDTA Titrations. Expires 30 days after opening.
