Brand,Instrument,GFS Item #,title,Web Description,url
EPA 180.1,EPA 180.1 Design,8030,"1000 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1000-ntu-8030
EPA 180.1,EPA 180.1 Design,8201,"Calibration Kit For EPA 180.1 Turbidimeters, Amco Clear Turbidity Kit","Calibration kit containing 0.5, 5.0 and 40 NTU standards for EPA 180.1 design turbidity instruments. Available as primary calibration standards, sealed secondary verification standards, or deluxe kit including both.",https://www.gfschemicals.com/amco-clear-calibration-kit-for-epa-180-1-turbidime-8201
EPA 180.1,EPA 180.1 Design,8254,Turb Linear Calib 1 Kit,"Calibration kit containing 0.0, 0.2, 0.4, 0.6, 0.8 and 1.0 NTU standards to be used to calibrate and verify instrument's linearity in the 0.0 to 1.0 NTU range. Avaliable as 125 mL, 250 mL, or 500 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-2-3-0-4-8254
EPA 180.1,EPA 180.1 Design,8255,"Linear Calibration Kit, 0/2/4/6/8/10 NTU, Amco Clear","Calibration kit containing 0.0, 2, 4, 6, 8 and 10 NTU primary standards to be used to calibrate and verify instrument's linearity in the 0.0 to 10 NTU range. Available in 125 mL or 250 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-2-3-4-3-6-3-8255
EPA 180.1,EPA 180.1 Design,8256,"Linear Calibration Kit, 0/20/40/60/80/100 NTU, Amco Clear","Calibration kit containing 0.0, 20, 40, 60, 80 and 100 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 100 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-20-3-40-3-60-8256
EPA 180.1,EPA 180.1 Design,8257,"Linear Calibration Kit, 0.0/0.1/0.2 NTU, Amco Clear","Calibration kit containing 0.0, 0.1, 0.2 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 0.2 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-1-3-0-2-8257
EPA 180.1,EPA 180.1 Design,8259,"Wavelength Certification Kit, 40 NTU Ratio And 400 NTU Formazin, Amco Clear Turbidity Kit","Kit consists of one bottle of 40 NTU primary standard and one bottle of 400 NTU formazin. For all meters with tungsten lamp excpet Hach 18900, Ratio XR and Ratio 2000. Formazin must be used in 30 days.",https://www.gfschemicals.com/amco-clear-wavelength-certification-kit-40-ntu-rat-8259
EPA 180.1,EPA 180.1 Design,8360,"1000 NTU, Analite 180 DEG Probes, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1000-ntu-for-analite-8360
EPA 180.1,EPA 180.1 Design,8361,"4000 NTU, Analite 180 DEg Probes, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-4000-ntu-for-analite-8361
EPA 180.1,EPA 180.1 Design,8362,"0.3 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-3-ntu-8362
EPA 180.1,EPA 180.1 Design,8483,"Turbidity/Multi Standard, 0.0 NTU, Amco Clear Standard","Multistandard reference solution for turbidity, conductivity, and pH calibration. 0.0 NTU, 4.49 mS/cm, pH 4.00.",https://www.gfschemicals.com/amco-clear-turbidity-3-multi-standard-0-0-ntu-8483
EPA 180.1,EPA 180.1 Design,8639,"200 NTU, Analite Instruments, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-200-ntu-for-analite-8639
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8000,"0.0 NTU, Amco Clear Turbidity Standard",For All Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-0-ntu-8000
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8118,"20 NTU, Analite Instruments, Amco Clear Turbidity Standard",For EPA 180.1 Design Turbidity Probes.,https://www.gfschemicals.com/amco-clear-turbidity-standard-20-ntu-for-analite-i-8118
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8254,Turb Linear Calib 1 Kit,"Calibration kit containing 0.0, 0.2, 0.4, 0.6, 0.8 and 1.0 NTU standards to be used to calibrate and verify instrument's linearity in the 0.0 to 1.0 NTU range. Avaliable as 125 mL, 250 mL, or 500 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-2-3-0-4-8254
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8255,"Linear Calibration Kit, 0/2/4/6/8/10 NTU, Amco Clear","Calibration kit containing 0.0, 2, 4, 6, 8 and 10 NTU primary standards to be used to calibrate and verify instrument's linearity in the 0.0 to 10 NTU range. Available in 125 mL or 250 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-2-3-4-3-6-3-8255
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8256,"Linear Calibration Kit, 0/20/40/60/80/100 NTU, Amco Clear","Calibration kit containing 0.0, 20, 40, 60, 80 and 100 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 100 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-20-3-40-3-60-8256
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8257,"Linear Calibration Kit, 0.0/0.1/0.2 NTU, Amco Clear","Calibration kit containing 0.0, 0.1, 0.2 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 0.2 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-1-3-0-2-8257
EPA 180.1,EPA 180.1 Design Turbidity Probes.,8259,"Wavelength Certification Kit, 40 NTU Ratio And 400 NTU Formazin, Amco Clear Turbidity Kit","Kit consists of one bottle of 40 NTU primary standard and one bottle of 400 NTU formazin. For all meters with tungsten lamp excpet Hach 18900, Ratio XR and Ratio 2000. Formazin must be used in 30 days.",https://www.gfschemicals.com/amco-clear-wavelength-certification-kit-40-ntu-rat-8259
